mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0037804126739501955,0.0013278058862343683,0.012563753128051757,0.004856201779314344,6,1,"{'n_neighbors': 6, 'p': 1}",0.5993377483443708,0.5596026490066225,0.5695364238410596,0.5481727574750831,0.574750830564784,0.570280081846384,0.01713260030786755,27,0.6716417910447762,0.6782752902155887,0.6873963515754561,0.6619718309859155,0.6661143330571665,0.6730799193757806,0.009010320112255627
0.003177452087402344,0.006354904174804688,0.0139739990234375,0.007874381316826507,6,2,"{'n_neighbors': 6, 'p': 2}",0.6059602649006622,0.5562913907284768,0.5463576158940397,0.5382059800664452,0.574750830564784,0.5643132164308815,0.02413197672748525,51,0.675787728026534,0.6824212271973465,0.6890547263681592,0.6743993371996686,0.6694283347141674,0.6782182707011751,0.006824197830794408
0.003813028335571289,0.0010085416906264245,0.011322784423828124,0.00180775670319965,7,1,"{'n_neighbors': 7, 'p': 1}",0.5662251655629139,0.5662251655629139,0.5364238410596026,0.5448504983388704,0.5382059800664452,0.5503861301181493,0.013234008295850674,88,0.681592039800995,0.6898839137645107,0.6890547263681592,0.6702568351284176,0.6810273405136703,0.6823629711151507,0.0070750397797490995
0.0002605438232421875,0.000521087646484375,0.010344982147216797,0.00855072756110934,7,2,"{'n_neighbors': 7, 'p': 2}",0.5960264900662252,0.5728476821192053,0.5198675496688742,0.5448504983388704,0.5647840531561462,0.5596752546698642,0.02578934570493183,76,0.6824212271973465,0.685737976782753,0.693200663349917,0.6677713338856669,0.6710853355426678,0.6800433073516702,0.009402620605634819
0.0031101226806640623,0.006220245361328125,0.013648557662963866,0.005019242044302432,8,1,"{'n_neighbors': 8, 'p': 1}",0.6026490066225165,0.5596026490066225,0.5562913907284768,0.5548172757475083,0.5780730897009967,0.5702866823612242,0.018205864266451415,25,0.6666666666666666,0.6616915422885572,0.6791044776119403,0.6420878210439105,0.6594863297431649,0.6618073674708479,0.011975507929084972
0.006940650939941406,0.007218312441171435,0.005728816986083985,0.007066054874667209,8,2,"{'n_neighbors': 8, 'p': 2}",0.5860927152317881,0.5728476821192053,0.5596026490066225,0.5481727574750831,0.5880398671096345,0.5709511341884668,0.015313600001406705,15,0.6658374792703151,0.6616915422885572,0.681592039800995,0.6462303231151616,0.6495443247721624,0.6609791418494384,0.012627630137831504
0.0031327247619628907,0.006265449523925781,0.011306476593017579,0.006904918418072323,9,1,"{'n_neighbors': 9, 'p': 1}",0.6026490066225165,0.5695364238410596,0.5463576158940397,0.5481727574750831,0.5880398671096345,0.5709511341884668,0.022011255769985003,15,0.6666666666666666,0.6716417910447762,0.6749585406301825,0.6462303231151616,0.6586578293289147,0.6636310301571402,0.010288024150169522
0.006526470184326172,0.006856989772289212,0.006590080261230469,0.00605752216502317,9,2,"{'n_neighbors': 9, 'p': 2}",0.5993377483443708,0.5894039735099338,0.5529801324503312,0.5514950166112956,0.5647840531561462,0.5716001848144155,0.019409951632051104,14,0.6575456053067993,0.6650082918739635,0.6774461028192371,0.6495443247721624,0.6512013256006628,0.660149130074565,0.010218612050020138
0.0006618022918701172,0.0013236045837402345,0.01702151298522949,0.002319429198267609,10,1,"{'n_neighbors': 10, 'p': 1}",0.5960264900662252,0.5827814569536424,0.5794701986754967,0.5382059800664452,0.5647840531561462,0.5722536357835911,0.01971344680042681,10,0.6401326699834162,0.6583747927031509,0.6608623548922057,0.6437448218724109,0.652029826014913,0.6510288930932193,0.00804296525360472
0.004130315780639648,0.0033484913640999367,0.011620807647705077,0.0035737279995693236,10,2,"{'n_neighbors': 10, 'p': 2}",0.5894039735099338,0.5894039735099338,0.5629139072847682,0.5415282392026578,0.5980066445182725,0.5762513476051132,0.020989795861758472,2,0.6293532338308457,0.654228855721393,0.6583747927031509,0.6379453189726595,0.6412593206296603,0.6442323043715419,0.0106741985459347
